video_id,total_wrongs,total_questions,all_wrong_qtypes,n_models,fail_rate
vci6u7CN1eY_000033_000043,41.0,8.0,5.0,6.0,0.8541666666666666
wENqKLi3ivs_000038_000048,41.0,8.0,5.0,6.0,0.8541666666666666
wZ7dqJnpp-s_000080_000090,41.0,8.0,5.0,6.0,0.8541666666666666
yQgRFtT5Hs8_000095_000105,41.0,8.0,5.0,6.0,0.8541666666666666
-AMtWFqKIpo_000012_000022,40.0,8.0,5.0,6.0,0.8333333333333334
1ewTBG-Ox7o_000013_000023,40.0,8.0,5.0,6.0,0.8333333333333334
5OKAuORFxbA_000171_000181,40.0,8.0,5.0,6.0,0.8333333333333334
69AKLxJ5DFM_000004_000014,40.0,8.0,5.0,6.0,0.8333333333333334
6fPfxE5EDVQ_000006_000016,40.0,8.0,5.0,6.0,0.8333333333333334
8CLd_NeaLhw_000063_000073,40.0,8.0,5.0,6.0,0.8333333333333334
8wotRd912w4_000021_000031,40.0,8.0,5.0,6.0,0.8333333333333334
9BOO2wmmPD0_000013_000023,40.0,8.0,5.0,6.0,0.8333333333333334
9PJtjVItkTQ_000102_000112,40.0,8.0,5.0,6.0,0.8333333333333334
BTBrRgMn4zw_000171_000181,40.0,8.0,5.0,6.0,0.8333333333333334
Ei3NHfMkdSY_000133_000143,40.0,8.0,5.0,6.0,0.8333333333333334
GLG0fWqdJi0_000041_000051,40.0,8.0,5.0,6.0,0.8333333333333334
HYWn0G8iJcg_000390_000400,40.0,8.0,5.0,6.0,0.8333333333333334
I9J78owX4vc_000118_000128,40.0,8.0,5.0,6.0,0.8333333333333334
IREaXW0PQ3g_000151_000161,40.0,8.0,5.0,6.0,0.8333333333333334
IdZvkHM-YaY_000047_000057,40.0,8.0,5.0,6.0,0.8333333333333334
Km0m4h0_nzE_000024_000034,40.0,8.0,5.0,6.0,0.8333333333333334
Kwg5XqzN_F0_000067_000077,40.0,8.0,5.0,6.0,0.8333333333333334
LAqiox_VZWc_000057_000067,40.0,8.0,5.0,6.0,0.8333333333333334
O3Uro-nsc98_000003_000013,40.0,8.0,5.0,6.0,0.8333333333333334
QL4MSHUqHk8_000095_000105,40.0,8.0,5.0,6.0,0.8333333333333334
X-0u2_ChipQ_000008_000018,40.0,8.0,5.0,6.0,0.8333333333333334
XSu5dteR2Ko_000013_000023,40.0,8.0,5.0,6.0,0.8333333333333334
acTTzAoU_Gs_000006_000016,40.0,8.0,5.0,6.0,0.8333333333333334
bPuY7gCtCXQ_000005_000015,40.0,8.0,5.0,6.0,0.8333333333333334
eAHmDFppq9E_000000_000010,40.0,8.0,5.0,6.0,0.8333333333333334
eZThEMvShug_000040_000050,40.0,8.0,5.0,6.0,0.8333333333333334
he9W4auRy5o_000034_000044,40.0,8.0,5.0,6.0,0.8333333333333334
iW_brPg367I_000029_000039,40.0,8.0,5.0,6.0,0.8333333333333334
lu1IfX4EytU_000002_000012,40.0,8.0,5.0,6.0,0.8333333333333334
naaiD-t5ieg_000059_000069,40.0,8.0,5.0,6.0,0.8333333333333334
npO1hMcZ3ZU_000086_000096,40.0,8.0,5.0,6.0,0.8333333333333334
p-k8oUN4u0E_000000_000010,40.0,8.0,5.0,6.0,0.8333333333333334
piCd_DiRmrg_000006_000016,40.0,8.0,5.0,6.0,0.8333333333333334
u4Jdp84aMwM_000153_000163,40.0,8.0,5.0,6.0,0.8333333333333334
unkaZ_CDasA_000080_000090,40.0,8.0,5.0,6.0,0.8333333333333334
vdwFTKt56hA_000117_000127,40.0,8.0,5.0,6.0,0.8333333333333334
vejNVr2cQlg_000028_000038,40.0,8.0,5.0,6.0,0.8333333333333334
0PzwR7827Iw_000082_000092,39.0,8.0,5.0,6.0,0.8125
10DCXPxKRhc_000000_000010,39.0,8.0,5.0,6.0,0.8125
5Wv-aAB0Lpg_000196_000206,39.0,8.0,5.0,6.0,0.8125
